#domain,port,ioc,ip
immich.gh4l.org,2096,Possible PiKVM Domain (Unverified),24.101.18.231
immich.gtdshka.ru,8443,Possible PiKVM Domain (Unverified),77.37.156.169
iot.fzfrd.com,53100,Possible PiKVM Domain (Unverified),183.250.202.67
iot.fzfrd.com,53102,Possible PiKVM Domain (Unverified),183.250.202.67
ipkvm.pub,608,Possible GLKVM Domain (Unverified),222.128.48.207
iron-rock.direct.quickconnect.to,44001,Possible GLKVM Domain (Unverified),107.221.55.208
iron-rock.direct.quickconnect.to,44004,Possible GLKVM Domain (Unverified),107.221.55.208
itboriki.ru,41593,Possible NanoKVM Domain (Unverified),178.234.13.137
ittan.top,7743,Possible PiKVM Domain (Unverified),119.91.151.38
iwoniczzdroj.fotopolska.eu,6913,Possible NanoKVM Domain (Unverified),79.110.203.11
jammbo.net,443,Possible GLKVM Domain (Unverified),73.124.31.3
jcw81.direct.quickconnect.to,10088,Possible NanoKVM Domain (Unverified),128.106.40.182
jellyfin.cabin.williamweilep.com,5020,Possible NanoKVM Domain (Unverified),209.23.71.120
jinaohome.top,78,Possible PiKVM Domain (Unverified),121.15.191.101
johnsmit.synology.me,44002,Possible GLKVM Domain (Unverified),107.221.55.208
johnsmit.synology.me,44003,Possible GLKVM Domain (Unverified),107.221.55.208
juban3.com,666,Possible NanoKVM Domain (Unverified),207.66.79.54
k112.space,1957,Possible NanoKVM Domain (Unverified),86.110.170.70
kafka-ui.devops-labs.ru,9044,Possible NanoKVM Domain (Unverified),45.155.147.137
karimov1981.crazedns.ru,443,Possible NanoKVM Domain (Unverified),151.252.81.52
karlsonserver.direct.quickconnect.to,3815,Possible GLKVM Domain (Unverified),100.1.116.161
kassafinal.direct.quickconnect.to,53310,Possible NanoKVM Domain (Unverified),106.72.8.128
kclauts873.myqnapcloud.com,62443,Possible PiKVM Domain (Unverified),124.244.236.243
kcs2092.direct.quickconnect.to,40005,Possible NanoKVM Domain (Unverified),123.213.37.9
kcs2092.synology.me,40022,Possible NanoKVM Domain (Unverified),123.213.37.9
keenanweb.com,31415,Possible NanoKVM Domain (Unverified),73.33.203.123
kkim.top,18443,Possible GLKVM Domain (Unverified),123.235.20.198
klinker-cabin.computer,8081,Possible PiKVM Domain (Unverified),38.75.214.203
klinker-cabin.computer,8085,Possible PiKVM Domain (Unverified),38.75.214.203
kneusel1.hopto.org,9737,Possible GLKVM Domain (Unverified),47.197.129.55
knowledgeexchange.cloudcleanenergy.com,36011,Possible PiKVM Domain (Unverified),74.176.81.82
knzw.org,8866,Possible GLKVM Domain (Unverified),104.56.117.144
kvm-oob.parisremotehands.fr,1443,Possible GLKVM Domain (Unverified),82.26.68.211
kvm-oob.parisremotehands.fr,443,Possible GLKVM Domain (Unverified),82.26.68.211
kvm.asi.nyc,443,Possible GLKVM Domain (Unverified),198.199.69.31
kvm.durbatul.uk,443,Possible GLKVM Domain (Unverified),143.47.179.249
kvm.koterpillar.com,5199,Possible NanoKVM Domain (Unverified),103.252.195.101
kvm.sollysolutions.com,443,Possible GLKVM Domain (Unverified),165.232.62.159
kvm.torrestorrestech.com.br,8443,Possible GLKVM Domain (Unverified),187.10.236.6
kvm.wujiang.icu,8082,Possible PiKVM Domain (Unverified),47.92.32.235
kwloo.synology.me,65500,Possible TinyPilot KVM Domain (Unverified),116.89.89.12
lesj0610.asuscomm.com,7443,Possible PiKVM Domain (Unverified),175.115.64.71
lesj0610.asuscomm.com,9443,Possible PiKVM Domain (Unverified),175.115.64.71
levashoff.com,3972,Possible PiKVM Domain (Unverified),69.251.58.121
lin-kor-20-26.crazedns.ru,63434,Possible NanoKVM Domain (Unverified),176.107.249.209
linjiang-nas.direct.quickconnect.to,18888,Possible PiKVM Domain (Unverified),220.132.99.215
linjintao.myds.me,4433,Possible PiKVM Domain (Unverified),110.81.94.218
linkwarden.gamingecke.space,8087,Possible NanoKVM Domain (Unverified),87.179.43.106
livekit-jwt.alagezia.eu,4434,Possible PiKVM Domain (Unverified),151.249.104.188
localracc.argyll.live,443,Possible GLKVM Domain (Unverified),77.103.109.134
localracc.argyll.live,80,Possible GLKVM Domain (Unverified),77.103.109.134
longdog.net305.ru,7778,Possible NanoKVM Domain (Unverified),80.92.211.234
losroques.duckdns.org,443,Possible GLKVM Domain (Unverified),88.163.38.65
losroques.duckdns.org,80,Possible GLKVM Domain (Unverified),88.163.38.65
luki.zip,443,Possible NanoKVM Domain (Unverified),213.185.130.154
lynchtek.com,62997,Possible PiKVM Domain (Unverified),73.45.150.207
mail.holick.de,43625,Possible NanoKVM Domain (Unverified),78.94.253.17
mail03-vps.hlpnet.dk,443,Possible GLKVM Domain (Unverified),172.233.41.176
marhi.direct.quickconnect.to,4443,Possible GLKVM Domain (Unverified),89.142.196.93
marly.50m.ch,2876,Possible GLKVM Domain (Unverified),84.234.16.53
martin.argerami.ca,2249,Possible TinyPilot KVM Domain (Unverified),142.3.219.94
matrix.barab.uk,12345,Possible NanoKVM Domain (Unverified),90.188.237.178
matyspc.pl,8888,Possible GLKVM Domain (Unverified),109.173.160.252
mcrena-lgk.netcraze.pro,8081,Possible NanoKVM Domain (Unverified),195.128.97.113
media-server.netaqcess.net,4431,Possible GLKVM Domain (Unverified),70.181.70.35
mediaivan.kromskii.ru,800,Possible NanoKVM Domain (Unverified),5.128.67.170
medianaswa.direct.quickconnect.to,20443,Possible PiKVM Domain (Unverified),172.92.254.98
mesh.kotel-volna.ru,4321,Possible NanoKVM Domain (Unverified),195.239.175.143
messenger.agata.rip,7755,Possible NanoKVM Domain (Unverified),5.20.29.106
milash.yandex5.ru,9090,Possible PiKVM Domain (Unverified),95.31.172.177
mkxzgkblvz6ummqz.myfritz.net,443,Possible GLKVM Domain (Unverified),217.238.104.177
ms.ywmeis.com,8443,Possible PiKVM Domain (Unverified),122.226.124.94
myddns.com.cn,8443,Possible GLKVM Domain (Unverified),101.65.246.149
mygigabiga.keenetic.link,443,Possible GLKVM Domain (Unverified),178.64.253.172
mynas918.xyz,6777,Possible PiKVM Domain (Unverified),125.123.21.5
n8n.sinewave.es,62443,Possible PiKVM Domain (Unverified),213.194.132.128
nanokvmhomecenter.tuna.yakovlev-nl-01.abrdns.com,18087,Possible NanoKVM Domain (Unverified),185.239.51.213
nas-argentine-huberlant.direct.quickconnect.to,8001,Possible GLKVM Domain (Unverified),179.0.182.15
nas-iwg.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),79.57.210.123
nas-iwg.direct.quickconnect.to,80,Possible GLKVM Domain (Unverified),79.57.210.123
nas.aaaaaa.tech,1443,Possible PiKVM Domain (Unverified),8.155.25.193
nas.sateli.eu,8081,Possible NanoKVM Domain (Unverified),88.17.110.230
nas.tooni.kr,8055,Possible NanoKVM Domain (Unverified),1.252.129.83
nasfaesan.myqnapcloud.com,8765,Possible NanoKVM Domain (Unverified),88.19.200.169
nathanberan.xyz,25001,Possible GLKVM Domain (Unverified),216.177.187.113
naturalnrg.myqnapcloud.com,8888,Possible PiKVM Domain (Unverified),92.84.40.96
nc.mrservice.me,8080,Possible NanoKVM Domain (Unverified),46.161.123.162
nc2.maxop.site,12443,Possible GLKVM Domain (Unverified),93.127.123.251
net1vano.duckdns.org,10443,Possible NanoKVM Domain (Unverified),195.209.48.27
netcrazelaine.netcraze.pro,8223,Possible GLKVM Domain (Unverified),94.19.185.32
newfreelarunda.duckdns.org,9091,Possible PiKVM Domain (Unverified),46.6.2.157
next.smartshape.io,4443,Possible PiKVM Domain (Unverified),130.180.220.15
nextcloud.homeofangel.duckdns.org,7443,Possible NanoKVM Domain (Unverified),58.124.115.239
nexterm.ctrlhub.xyz,8443,Possible PiKVM Domain (Unverified),149.172.152.9
nginx.thanhnx.id.vn,8080,Possible NanoKVM Domain (Unverified),42.112.12.99
nginx.thanhnx.id.vn,8443,Possible NanoKVM Domain (Unverified),42.112.12.99
njnvqg18z57wowut.myfritz.net,9443,Possible GLKVM Domain (Unverified),77.21.111.55
nl.proxmox.nanokvm.net,443,Possible NanoKVM Domain (Unverified),45.133.118.27
