#domain,port,ioc,ip
homarr.sam.net.ru,8084,Possible NanoKVM Domain (Unverified),46.32.81.28
home-jamb.duckdns.org,60443,Possible PiKVM Domain (Unverified),46.149.84.98
home.stefano-baldi.com,40443,Possible GLKVM Domain (Unverified),80.73.236.18
hoper.65-studio.com,8888,Possible NanoKVM Domain (Unverified),188.233.254.37
hoper.65-studio.com,8889,Possible NanoKVM Domain (Unverified),188.233.254.37
hs.agafonov.club,19680,Possible NanoKVM Domain (Unverified),89.19.177.198
hs.agafonov.club,8484,Possible NanoKVM Domain (Unverified),89.19.177.198
hyperperceptron.asuscomm.com,3512,Possible PiKVM Domain (Unverified),123.192.65.137
hyperperceptron.asuscomm.com,4512,Possible PiKVM Domain (Unverified),123.192.65.137
hytecinter-tokyo.direct.quickconnect.to,3888,Possible NanoKVM Domain (Unverified),118.238.205.14
icpsco.net,443,Possible GLKVM Domain (Unverified),24.229.127.67
icpsco.net,80,Possible GLKVM Domain (Unverified),24.229.127.67
idired.direct.quickconnect.to,12345,Possible NanoKVM Domain (Unverified),79.117.124.164
iexcept.direct.quickconnect.to,17171,Possible PiKVM Domain (Unverified),185.143.146.25
ifhtp.com,1380,Possible NanoKVM Domain (Unverified),24.141.29.13
img.jd-tcc.com,8003,Possible PiKVM Domain (Unverified),47.97.165.76
img.jd-tcc.com,8009,Possible PiKVM Domain (Unverified),47.97.165.76
img.jd-tcc.com,8014,Possible PiKVM Domain (Unverified),47.97.165.76
immich.gtdshka.ru,8443,Possible PiKVM Domain (Unverified),77.37.156.169
int28home.myqnapcloud.com,18443,Possible PiKVM Domain (Unverified),202.79.78.110
intimatecapture.com,14438,Possible PiKVM Domain (Unverified),70.131.165.225
inv.soosin.com,3333,Possible NanoKVM Domain (Unverified),221.154.199.48
inzhenergonaladka.direct.quickconnect.to,20443,Possible NanoKVM Domain (Unverified),95.165.157.18
iot.fzfrd.com,53100,Possible PiKVM Domain (Unverified),183.250.202.67
iot.fzfrd.com,53102,Possible PiKVM Domain (Unverified),183.250.202.67
ipkonzol.sigmanet.hu,443,Possible GLKVM Domain (Unverified),87.229.99.20
ipkonzol.sigmanet.hu,80,Possible GLKVM Domain (Unverified),87.229.99.20
ipkvm.pub,608,Possible GLKVM Domain (Unverified),222.128.48.207
iristam.direct.quickconnect.to,3145,Possible NanoKVM Domain (Unverified),98.45.157.84
iristam.direct.quickconnect.to,3175,Possible NanoKVM Domain (Unverified),98.45.157.84
isnzuw0317.ddns.net,443,Possible NanoKVM Domain (Unverified),210.95.220.230
itboriki.ru,41593,Possible NanoKVM Domain (Unverified),178.234.13.137
ittan.top,7743,Possible PiKVM Domain (Unverified),119.91.151.38
iwoniczzdroj.fotopolska.eu,6913,Possible NanoKVM Domain (Unverified),79.110.203.11
jammbo.net,443,Possible GLKVM Domain (Unverified),73.124.31.3
jcw81.direct.quickconnect.to,10088,Possible NanoKVM Domain (Unverified),128.106.40.182
jcw81.direct.quickconnect.to,10089,Possible NanoKVM Domain (Unverified),128.106.40.182
jellyfin.cabin.williamweilep.com,5020,Possible NanoKVM Domain (Unverified),209.23.71.120
jinaohome.top,78,Possible PiKVM Domain (Unverified),121.15.191.101
jk9921.synology.me,443,Possible NanoKVM Domain (Unverified),23.241.104.176
johnsmit.synology.me,44002,Possible GLKVM Domain (Unverified),107.221.55.208
johnsmit.synology.me,44003,Possible GLKVM Domain (Unverified),107.221.55.208
juban3.com,666,Possible NanoKVM Domain (Unverified),207.66.79.54
jychan.myqnapcloud.com,3165,Possible NanoKVM Domain (Unverified),98.45.157.84
jychan.myqnapcloud.com,3185,Possible NanoKVM Domain (Unverified),98.45.157.84
k.kkcc-5.com,8080,Possible NanoKVM Domain (Unverified),46.188.44.62
karlsonserver.direct.quickconnect.to,3815,Possible GLKVM Domain (Unverified),100.1.116.161
kclauts873.myqnapcloud.com,62443,Possible PiKVM Domain (Unverified),124.244.236.243
kcs2092.direct.quickconnect.to,40005,Possible NanoKVM Domain (Unverified),123.213.37.9
kcs2092.synology.me,40022,Possible NanoKVM Domain (Unverified),123.213.37.9
keenanweb.com,31415,Possible NanoKVM Domain (Unverified),73.33.203.123
kkim.top,18443,Possible GLKVM Domain (Unverified),123.235.20.198
klinker-cabin.computer,8081,Possible PiKVM Domain (Unverified),38.75.214.203
klinker-cabin.computer,8085,Possible PiKVM Domain (Unverified),38.75.214.203
knowledgeexchange.cloudcleanenergy.com,36011,Possible PiKVM Domain (Unverified),74.176.81.82
knzw.org,8866,Possible GLKVM Domain (Unverified),104.56.117.144
kotakichi.direct.quickconnect.to,64976,Possible NanoKVM Domain (Unverified),106.73.126.225
krot34464.keenetic.link,56734,Possible NanoKVM Domain (Unverified),83.174.213.36
kvm-oob.parisremotehands.fr,1443,Possible GLKVM Domain (Unverified),82.26.68.211
kvm-oob.parisremotehands.fr,443,Possible GLKVM Domain (Unverified),82.26.68.211
kvm.asi.nyc,443,Possible GLKVM Domain (Unverified),198.199.69.31
kvm.durbatul.uk,443,Possible GLKVM Domain (Unverified),143.47.179.249
kvm.hostingswift.net,443,Possible GLKVM Domain (Unverified),153.75.230.246
kvm.koterpillar.com,5199,Possible NanoKVM Domain (Unverified),103.252.195.101
kvm.rhkr8521.com,443,Possible GLKVM Domain (Unverified),221.160.135.226
kvm.sollysolutions.com,443,Possible GLKVM Domain (Unverified),165.232.62.159
kvm.torrestorrestech.com.br,8443,Possible GLKVM Domain (Unverified),187.10.236.6
kvm.wujiang.icu,8082,Possible PiKVM Domain (Unverified),47.92.32.235
kwbjr2.synology.me,10142,Possible GLKVM Domain (Unverified),68.186.201.237
kwbjr2.synology.me,10163,Possible GLKVM Domain (Unverified),68.186.201.237
lab-ia.app.schmidt,8443,Possible PiKVM Domain (Unverified),141.255.151.114
laurel.flump.info,5876,Possible TinyPilot KVM Domain (Unverified),45.16.101.114
leem.dk,63000,Possible PiKVM Domain (Unverified),91.226.144.173
lesj0610.asuscomm.com,7443,Possible PiKVM Domain (Unverified),175.115.64.71
lesj0610.asuscomm.com,9443,Possible PiKVM Domain (Unverified),175.115.64.71
levashoff.com,3972,Possible PiKVM Domain (Unverified),69.251.58.121
lfire.asuscomm.com,9066,Possible NanoKVM Domain (Unverified),188.226.4.190
linjiang-nas.direct.quickconnect.to,18888,Possible PiKVM Domain (Unverified),220.132.99.215
linkwarden.gamingecke.space,8087,Possible NanoKVM Domain (Unverified),87.179.43.106
livekit-jwt.alagezia.eu,4434,Possible PiKVM Domain (Unverified),151.249.104.188
lldap.aistation.trading,40443,Possible NanoKVM Domain (Unverified),110.235.108.37
localracc.argyll.live,443,Possible GLKVM Domain (Unverified),77.103.109.134
localracc.argyll.live,80,Possible GLKVM Domain (Unverified),77.103.109.134
login.netcraze.pro,443,Possible NanoKVM Domain (Unverified),46.138.246.156
longdog.net305.ru,7777,Possible NanoKVM Domain (Unverified),80.92.211.234
longdog.net305.ru,7778,Possible NanoKVM Domain (Unverified),80.92.211.234
lonxw7.easypanel.host,443,Possible GLKVM Domain (Unverified),143.198.80.150
lynchtek.com,62997,Possible PiKVM Domain (Unverified),73.45.150.207
mail.bestdirectlandhomes.com,7443,Possible GLKVM Domain (Unverified),81.17.96.138
mail.holick.de,43625,Possible NanoKVM Domain (Unverified),78.94.253.17
mail.queuebeesolution.com.au,9443,Possible PiKVM Domain (Unverified),58.71.188.61
mail03-vps.hlpnet.dk,443,Possible GLKVM Domain (Unverified),172.233.41.176
marhi.direct.quickconnect.to,4443,Possible GLKVM Domain (Unverified),89.142.196.93
marly.50m.ch,2876,Possible GLKVM Domain (Unverified),84.234.16.53
martadronology.myqnapcloud.com,8084,Possible GLKVM Domain (Unverified),193.218.203.8
martin.argerami.ca,2249,Possible TinyPilot KVM Domain (Unverified),142.3.219.94
math.denr01.com,8573,Possible NanoKVM Domain (Unverified),217.70.27.151
matheo.cloud,2999,Possible NanoKVM Domain (Unverified),88.186.39.23
matrix.barab.uk,12345,Possible NanoKVM Domain (Unverified),90.188.237.178
media-server.netaqcess.net,4431,Possible GLKVM Domain (Unverified),70.181.70.35
mediaivan.kromskii.ru,800,Possible NanoKVM Domain (Unverified),5.128.67.170
medianaswa.direct.quickconnect.to,20443,Possible PiKVM Domain (Unverified),172.92.254.98
mesh.kotel-volna.ru,4321,Possible NanoKVM Domain (Unverified),195.239.175.143
micasanotu.casa,10001,Possible GLKVM Domain (Unverified),148.74.144.237
michiweiss.dynamic-dns.info,59677,Possible PiKVM Domain (Unverified),185.248.148.15
milash.yandex5.ru,9090,Possible PiKVM Domain (Unverified),95.31.172.177
mir.signum.video,8088,Possible NanoKVM Domain (Unverified),92.62.151.223
mkxzgkblvz6ummqz.myfritz.net,443,Possible GLKVM Domain (Unverified),217.238.104.177
mm.itili4.ru,57878,Possible NanoKVM Domain (Unverified),95.215.148.190
moxdemo.ckinf.com,4443,Possible GLKVM Domain (Unverified),176.149.234.91
mycloudsolution01.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),82.37.80.52
myddns.com.cn,8443,Possible GLKVM Domain (Unverified),101.65.246.149
mygigabiga.keenetic.link,443,Possible GLKVM Domain (Unverified),178.64.253.172
mynas918.xyz,6777,Possible PiKVM Domain (Unverified),125.123.21.5
n8n.sinewave.es,62443,Possible PiKVM Domain (Unverified),213.194.132.128
nanokvmhomecenter.tuna.yakovlev-nl-01.abrdns.com,18087,Possible NanoKVM Domain (Unverified),185.239.51.213
nas-argentine-huberlant.direct.quickconnect.to,8001,Possible GLKVM Domain (Unverified),179.0.182.15
nas-iwg.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),79.57.210.123
nas-iwg.direct.quickconnect.to,80,Possible GLKVM Domain (Unverified),79.57.210.123
nas.aaaaaa.tech,1443,Possible PiKVM Domain (Unverified),8.155.25.193
nas.sateli.eu,8081,Possible NanoKVM Domain (Unverified),88.17.110.230
nasbt33.direct.quickconnect.to,33172,Possible PiKVM Domain (Unverified),202.183.156.186
nasfaesan.myqnapcloud.com,8765,Possible NanoKVM Domain (Unverified),88.19.200.169
naturalnrg.myqnapcloud.com,8888,Possible PiKVM Domain (Unverified),92.84.40.96
nc.mrservice.me,8080,Possible NanoKVM Domain (Unverified),46.161.123.162
net1vano.duckdns.org,10443,Possible NanoKVM Domain (Unverified),195.209.48.27
netcrazelaine.netcraze.pro,8223,Possible GLKVM Domain (Unverified),94.19.185.32
newfreelarunda.duckdns.org,9091,Possible PiKVM Domain (Unverified),46.6.2.157
next.smartshape.io,4443,Possible PiKVM Domain (Unverified),130.180.220.15
nextcloud.homeofangel.duckdns.org,7443,Possible NanoKVM Domain (Unverified),58.124.115.239
nexterm.ctrlhub.xyz,8443,Possible PiKVM Domain (Unverified),149.172.152.9
nginx.thanhnx.id.vn,8080,Possible NanoKVM Domain (Unverified),42.112.12.99
nginx.thanhnx.id.vn,8443,Possible NanoKVM Domain (Unverified),42.112.12.99
ningbo1.xondria.com,23236,Possible PiKVM Domain (Unverified),110.42.43.42
njnvqg18z57wowut.myfritz.net,9443,Possible GLKVM Domain (Unverified),77.21.111.55
nl.proxmox.nanokvm.net,443,Possible NanoKVM Domain (Unverified),45.133.118.27
nocturnalnick.com,51337,Possible NanoKVM Domain (Unverified),125.238.204.185
nohany.duckdns.org,42443,Possible PiKVM Domain (Unverified),174.113.199.220
notebook.16yang.cn,24443,Possible PiKVM Domain (Unverified),39.105.109.58
ns.diset.eu,2222,Possible NanoKVM Domain (Unverified),217.160.186.185
ns5010499.ip-51-161-198.net,443,Possible GLKVM Domain (Unverified),51.161.198.71
nsrkeenetic.keenetic.link,8085,Possible PiKVM Domain (Unverified),46.39.239.117
numerosiren.com,62346,Possible NanoKVM Domain (Unverified),82.65.98.164
nvr.dyatbit.ru,8008,Possible NanoKVM Domain (Unverified),77.37.168.213
oauth.myxpa.duckdns.org,8080,Possible GLKVM Domain (Unverified),5.94.17.212
obluchatel.netcraze.club,9443,Possible PiKVM Domain (Unverified),176.99.166.251
ocaldk.direct.quickconnect.to,8443,Possible GLKVM Domain (Unverified),91.226.145.67
ocenki.erudit23.ru,8049,Possible NanoKVM Domain (Unverified),193.242.148.251
ocenki.erudit23.ru,8050,Possible NanoKVM Domain (Unverified),193.242.148.251
office.iron-rock.synology.me,44021,Possible GLKVM Domain (Unverified),107.221.55.208
office.prokrepezh38.ru,40100,Possible NanoKVM Domain (Unverified),90.188.225.217
oifdgok.crazedns.ru,443,Possible NanoKVM Domain (Unverified),185.160.137.198
oifdgok.crazedns.ru,80,Possible NanoKVM Domain (Unverified),185.160.137.198
