#domain,port,ioc,ip
c.r3d.fi,443,Possible BurpSuite Collaborator Domain (Unverified),54.172.138.215
c.r3d.fi,80,Possible BurpSuite Collaborator Domain (Unverified),54.172.138.215
c.sgttest.com.br,443,Possible BurpSuite Collaborator Domain (Unverified),3.14.76.0
c.sgttest.com.br,80,Possible BurpSuite Collaborator Domain (Unverified),3.14.76.0
c.spiderlabs.us,443,Possible BurpSuite Collaborator Domain (Unverified),3.8.18.192
c.spiderlabs.us,80,Possible BurpSuite Collaborator Domain (Unverified),3.8.18.192
c.stlv.uk,443,Possible BurpSuite Collaborator Domain (Unverified),195.97.212.9
c.stlv.uk,80,Possible BurpSuite Collaborator Domain (Unverified),195.97.212.9
c.tmls.net.au,443,Possible BurpSuite Collaborator Domain (Unverified),3.27.71.73
c.trackz.one,443,Possible BurpSuite Collaborator Domain (Unverified),40.71.230.157
c.trackz.one,80,Possible BurpSuite Collaborator Domain (Unverified),40.71.230.157
c.wil.ac,443,Possible BurpSuite Collaborator Domain (Unverified),20.33.62.56
c.wil.ac,80,Possible BurpSuite Collaborator Domain (Unverified),20.33.62.56
c.wwx.ro,80,Possible BurpSuite Collaborator Domain (Unverified),86.126.134.69
c.xburp.nl,443,Possible BurpSuite Collaborator Domain (Unverified),20.82.116.122
c.xburp.nl,80,Possible BurpSuite Collaborator Domain (Unverified),20.82.116.122
c.xssd.io,443,Possible BurpSuite Collaborator Domain (Unverified),45.33.41.237
c.xssd.io,80,Possible BurpSuite Collaborator Domain (Unverified),45.33.41.237
c.zmxc.cc,443,Possible BurpSuite Collaborator Domain (Unverified),34.142.45.193
c.zmxc.cc,80,Possible BurpSuite Collaborator Domain (Unverified),34.142.45.193
c2.djkat.net,443,Possible Hak5 Cloud C2 Domain (Unverified),98.89.116.6
c2.djkat.net,80,Possible Hak5 Cloud C2 Domain (Unverified),98.89.116.6
c2.greifvogel.ch,8080,Possible Hak5 Cloud C2 Domain (Unverified),140.238.168.101
c2.kleman.pw,443,Possible Mythic Domain (Unverified),62.4.0.66
c2.kleman.pw,7443,Possible Mythic Domain (Unverified),62.4.0.66
c2.mjbates.com,443,Possible Hak5 Cloud C2 Domain (Unverified),147.182.241.212
cakesforcafes.co.uk,9000,Possible DevilGinx Domain (Unverified),185.212.128.96
cakesforcafes.co.uk,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.96
cartridge-guide.co.uk,34211,Possible Sliver Domain (Unverified),91.199.154.103
cartridge-guide.co.uk,443,Possible Sliver Domain (Unverified),91.199.154.103
catch1.priv.red,443,Possible BurpSuite Collaborator Domain (Unverified),54.206.97.67
catch1.priv.red,80,Possible BurpSuite Collaborator Domain (Unverified),54.206.97.67
cb.4x.pw,443,Possible BurpSuite Collaborator Domain (Unverified),130.162.240.54
